"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NECAB1",4.52113899459119e-07,-0.46599358376744,0.248,0.322,0.0152335257283756
"HGSNAT",4.7325249978742e-07,-0.868705132282236,0.059,0.105,0.0159457697278373
"CORO6",4.78085093435369e-07,-0.380001735952197,0.296,0.375,0.0161085991382113
"STMN1",4.82265892270165e-07,0.281689663605285,0.587,0.513,0.016249466974151
"PRRT1",5.54965588991556e-07,0.581292888296051,0.233,0.169,0.0186990105554815
"ACAP3",5.55972884318836e-07,-0.360704517820781,0.354,0.432,0.0187329503642389
"DCLK1",5.5939859938955e-07,-0.298512088646409,0.396,0.482,0.0188483764078315
"RP11-219A15.1",5.93395194716705e-07,-0.596840688292574,0.128,0.188,0.0199938576907847
"RPS14",6.11660557696778e-07,-0.444444300052814,0.349,0.417,0.0206092908310352
"EGR1",6.21550382288916e-07,-0.946132494920888,0.044,0.086,0.0209425185808427
"EIF1AX",6.27213400126566e-07,0.384108013141515,0.363,0.288,0.0211333283038645
"ZBTB18",6.76535438488132e-07,0.479395366320902,0.333,0.263,0.0227951850644191
"CHI3L1",7.02371692793053e-07,-2.0568291073479,0.008,0.033,0.0236657118169691
"LINC00473",7.09127624449716e-07,-1.72189569263064,0.015,0.044,0.0238933461782087
"FEZF2",7.25492487773841e-07,-0.810842872190113,0.104,0.158,0.0244447438830518
"AACS",7.3207283439294e-07,-0.542518899897865,0.136,0.199,0.0246664620820357
"ZNF605",7.36964503126853e-07,-0.726360173142028,0.107,0.165,0.0248312819683562
"YLPM1",7.42277970909936e-07,-0.717619895757975,0.133,0.194,0.0250103139518394
"CCDC14",7.70650947695359e-07,-0.724969640060013,0.124,0.182,0.0259663130316474
"NPIPB11",8.24089436844738e-07,1.71644072029846,0.047,0.019,0.0277668694850466
"MESP1",8.27028831649888e-07,1.33017331055959,0.052,0.022,0.0278659094536113
"PDCD7",8.62078576887145e-07,-0.860480313086291,0.143,0.2,0.0290468755696355
"TRIM56",8.671469589693e-07,2.35250941224914,0.027,0.007,0.0292176496355116
"ZC3H14",9.05932029265506e-07,-0.620636126492136,0.132,0.193,0.030524473794072
"EIF5A",9.08133716552986e-07,0.644413816006554,0.198,0.138,0.0305986574455363
"AKAP6",9.12002341265301e-07,-0.478320847080269,0.214,0.283,0.0307290068865931
"RPRM",9.20442027030677e-07,0.727580801800341,0.196,0.138,0.0310133736587716
"NBL1",9.23797583782562e-07,0.58795615264948,0.226,0.164,0.0311264357879696
"WAC-AS1",9.26672018166184e-07,-0.656978903168287,0.102,0.158,0.0312232869800914
"RSBN1L",9.33066206816362e-07,-0.516875089096416,0.15,0.213,0.0314387327724705
"PKDCC",9.47859168529135e-07,-1.02873770726879,0.072,0.12,0.0319371668244207
"PCDH17",9.73855201377328e-07,-0.426425752009768,0.249,0.321,0.0328130771552077
"INF2",9.81443222791051e-07,-0.663774369222764,0.101,0.155,0.0330687479487217
"CEBPB",1.00085674965538e-06,0.675160697575419,0.121,0.073,0.0337228673228883
"RASD2",1.02774306302867e-06,0.948228408183142,0.08,0.042,0.034628774765688
"DBF4B",1.05227968884889e-06,-1.73520687538147,0.013,0.04,0.0354555118360745
"COX5B",1.14699969906078e-06,0.483479178106321,0.298,0.229,0.0386470078601539
"TSC22D3",1.15052055223998e-06,0.636077906883617,0.132,0.083,0.038765639487174
"NENF",1.17487550393265e-06,0.745464794822426,0.115,0.069,0.0395862552295066
"HNRNPC",1.18978513672895e-06,0.510410496346647,0.264,0.199,0.0400886203969452
"HTR2A",1.2144065235461e-06,-0.72025823149617,0.072,0.12,0.0409182134043624
"SLF1",1.27240419009888e-06,0.405652129378836,0.331,0.259,0.0428723867811917
"SET",1.2914369741917e-06,-0.508779146061876,0.225,0.29,0.0435136774084151
"SCAMP5",1.34285991204791e-06,0.344754334412562,0.511,0.441,0.0452463218765422
"AGBL4",1.36286074693945e-06,-0.926326989141771,0.042,0.082,0.0459202300073779
"EML4",1.37290140187181e-06,-0.942938271526082,0.068,0.114,0.0462585398346688
"KCNMA1",1.37432566664126e-06,-0.374420448998599,0.376,0.443,0.0463065290118105
"ADGRB2",1.41036779687402e-06,-0.446809656080729,0.221,0.29,0.0475209325478731
"TTC9B",1.42170378922961e-06,0.426091907653239,0.299,0.229,0.0479028874743023
"TOMM7",1.43001841649716e-06,-0.492707863449285,0.129,0.189,0.0481830405254553
"CCDC82",1.43610277341459e-06,-0.718164236602579,0.124,0.179,0.0483880468474312
"ANKRD20A3",1.45782788162713e-06,-1.0143071475132,0.038,0.076,0.0491200526435444
"DST",1.46710207043637e-06,-0.499936678708162,0.526,0.571,0.0494325371612831
"ANKRD12",1.46743242926971e-06,-0.351680650522874,0.393,0.459,0.0494436682718137
"MT-ND2",1.54401016760436e-06,0.212745202846477,0.869,0.793,0.0520238785872613
