"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BACH2",5.6737745740737e-10,-0.697046299095011,0.017,0.033,1.91172160498839e-05
"AP1S3",5.6848421349679e-10,-1.11047617915981,0.013,0.027,1.91545070895609e-05
"MED13",5.69343204026633e-10,-0.203507698152049,0.106,0.14,1.91834499164734e-05
"ITPR2",5.70319529147782e-10,-0.395095915549156,0.084,0.114,1.92163462151054e-05
"FSIP1",5.77009215654545e-10,-0.557327375507658,0.027,0.046,1.94417485122642e-05
"DDIT4",5.8133957526933e-10,0.941530473316553,0.043,0.026,1.95876556491248e-05
"WDR92",5.90278197728922e-10,-0.730701049649794,0.03,0.049,1.98888335942783e-05
"PTPRN",5.90727456433864e-10,0.330361873668394,0.332,0.298,1.99039709170826e-05
"DALRD3",5.93775188230184e-10,-0.615698747917752,0.038,0.059,2.00066611922278e-05
"MAN1B1",5.97704654167184e-10,-0.281791194490915,0.101,0.134,2.01390606175091e-05
"KHDRBS2",6.00672352594451e-10,-0.533840815149196,0.07,0.097,2.02390542483174e-05
"TDG",6.02662887503873e-10,-0.332601950442056,0.115,0.149,2.03061233315555e-05
"RAD51C",6.05848987022886e-10,-0.625384967434942,0.039,0.06,2.04134757687491e-05
"ORC6",6.15273917207195e-10,-0.718338190737212,0.026,0.045,2.07310393663792e-05
"SRP19",6.16642495030492e-10,-0.544700380581971,0.042,0.065,2.07771522275574e-05
"TMEM169",6.16835676776504e-10,-0.712866335247837,0.019,0.035,2.07836612933075e-05
"CECR6",6.25645761036892e-10,-0.629929176276202,0.028,0.047,2.1080508272377e-05
"RYK",6.26799097145059e-10,-0.323211044056478,0.077,0.105,2.11193687792056e-05
"LRPPRC",6.29137561857146e-10,-0.225617541015034,0.104,0.137,2.11981610092147e-05
"TRIM52",6.35146321591045e-10,-0.376983691052511,0.082,0.111,2.14006201596887e-05
"FAM53C",6.62940661199786e-10,-0.293031286277392,0.095,0.127,2.23371226384656e-05
"ADAM15",6.64770926424732e-10,-0.389802712200175,0.064,0.09,2.23987915949549e-05
"ZNF365",6.70618140019972e-10,-0.257511460975144,0.177,0.217,2.2595807609833e-05
"ADAMTSL2",6.74399500167343e-10,0.829072728532152,0.042,0.025,2.27232167586384e-05
"TAF8",6.7944624785768e-10,-0.885266965301324,0.019,0.036,2.28932618753167e-05
"DDX21",6.90596660949048e-10,-0.308395490970128,0.072,0.1,2.32689638940172e-05
"RP11-766F14.2",6.91353471487024e-10,-1.96784624898173,0.002,0.01,2.32944638682838e-05
"KIAA1147",6.92329354072231e-10,-0.414176959388657,0.065,0.092,2.33273452561098e-05
"MGAT4C",6.96562014678106e-10,-0.254140638518541,0.096,0.128,2.34699605225641e-05
"GLRA3",7.08151103693062e-10,-0.311820539716935,0.087,0.118,2.3860443287834e-05
"RBM28",7.09413137327437e-10,-0.279081218853013,0.081,0.111,2.39029662491107e-05
"EP300",7.1318558078834e-10,-0.180513343880548,0.108,0.142,2.40300749590823e-05
"ADGRL3",7.3241893402921e-10,-0.190916414861105,0.202,0.246,2.46781235631802e-05
"KMT2B",7.33934771124727e-10,-0.265545127778121,0.091,0.123,2.47291981782765e-05
"EXD2",7.49187706074611e-10,-0.341195688333692,0.054,0.079,2.52431305684779e-05
"FHAD1",7.50454510415933e-10,-1.47869397027476,0.005,0.016,2.52858142739545e-05
