"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZNF354A",1.95821804217555e-06,-0.881214164301034,0.036,0.059,0.065980198713063
"HSPA5",1.96520948816699e-06,0.32197850100034,0.142,0.107,0.0662157684942986
"SLC25A4",1.97482872364362e-06,0.34918374686282,0.183,0.145,0.0665398790144481
"ATG13",1.98460755112557e-06,0.280035049439999,0.185,0.145,0.0668693668276251
"PPFIA2",1.98596885831456e-06,0.185745967711995,0.481,0.427,0.0669152347120508
"POLM",1.99529350479935e-06,-1.03709329231011,0.014,0.03,0.0672294193507094
"RP11-798M19.6",2.00305022722078e-06,0.272197808392389,0.1,0.07,0.0674907743559769
"FRRS1L",2.01668769714708e-06,0.167039706843727,0.455,0.397,0.0679502752676737
"NAA25",2.04974854222899e-06,-0.451831297866944,0.163,0.199,0.0690642273818635
"RBM5",2.06045052970509e-06,-0.344451591180803,0.317,0.353,0.0694248201478833
"UBE2E3",2.0807028550432e-06,0.264741842749764,0.179,0.141,0.0701072019978256
"GNAQ",2.0817240032363e-06,0.130007905498787,0.512,0.449,0.0701416085650439
"ZNF318",2.08646143283426e-06,-0.617095329915444,0.091,0.122,0.0703012315179174
"MTMR4",2.09424883047888e-06,-0.500660313666333,0.15,0.185,0.0705636200941556
"NDUFS7",2.11003814517606e-06,0.22435899590678,0.214,0.171,0.0710956252635622
"SSR4",2.12223447216111e-06,0.361582785911233,0.104,0.074,0.0715065683049964
"PRR22",2.13988742171916e-06,-1.41590731511936,0.011,0.025,0.0721013667874054
"POU3F2",2.15505551382158e-06,0.890722711906838,0.046,0.027,0.0726124404827043
"LKAAEAR1",2.15513614838294e-06,0.935722341908051,0.026,0.013,0.0726151573836146
"AHCYL1",2.19263137435917e-06,-0.383829811977325,0.232,0.27,0.0738785215276577
"UBE3A",2.19534421121914e-06,-0.359162860670495,0.255,0.292,0.0739699278528178
"GNAI2",2.21349394465985e-06,0.254459734106103,0.177,0.138,0.074581464971369
"PRKCZ",2.2179755785915e-06,0.225075662313915,0.309,0.261,0.0747324691450621
"TNIK",2.22335495799356e-06,-0.503806421800771,0.151,0.186,0.0749137219546351
"CCDC144A",2.23551265917421e-06,-0.483504707312244,0.409,0.422,0.0753233635382158
"SEPT9",2.25843299969364e-06,0.338258394273492,0.162,0.125,0.0760956414916776
"SRSF11",2.26093342161541e-06,-0.227071537445974,0.672,0.664,0.0761798907079095
"EXOC3-AS1",2.28762201275593e-06,-1.03431619538487,0.025,0.044,0.0770791360977982
"UBN2",2.33387541020995e-06,-0.450231890489335,0.256,0.288,0.078637598071614
"CHI3L1",2.34905457391122e-06,-1.68449414458359,0.005,0.015,0.0791490448133645
"FAM168A",2.36267085790316e-06,0.366013478370093,0.139,0.106,0.079607831886189
"FGF9",2.36418595370995e-06,-0.569546732412206,0.1,0.132,0.0796588815243031
"UHRF2",2.37328114581525e-06,0.319501857076453,0.118,0.086,0.0799653349270991
"CTC-524C5.2",2.3966822637705e-06,0.912714041456141,0.021,0.009,0.0807538121954833
"SPG21",2.42135514736488e-06,0.365794553305755,0.09,0.063,0.0815851403353123
"MIR7-3HG",2.43070910796066e-06,-0.706443603639166,0.061,0.088,0.0819003126836265
"DPP6",2.47288481442511e-06,0.182222794764781,0.398,0.339,0.0833213809372395
"CUEDC2",2.50019092306577e-06,0.352429670771649,0.09,0.063,0.084241432961778
"PTGES2",2.5210173668152e-06,0.312224228012647,0.158,0.122,0.0849431591574714
"SESN2",2.54259469950923e-06,0.754281856711456,0.041,0.023,0.0856701858052641
"DBI",2.54754215425749e-06,0.415678110308744,0.071,0.047,0.0858368853455518
"RP11-439E19.7",2.56600789199677e-06,-0.761813407429727,0.03,0.05,0.0864590699129391
"RP11-798L4.1",2.57227925652857e-06,-0.994234981948662,0.033,0.053,0.0866703772694736
"FAM134A",2.58355725250106e-06,0.16939639345839,0.311,0.26,0.0870503780657708
"SYNE1",2.60569480381953e-06,-0.333157250786849,0.556,0.572,0.0877962807198953
"RIF1",2.63107523434124e-06,-0.482754645415928,0.233,0.269,0.0886514489458937
"SLC39A10",2.63528835030401e-06,-0.231020731881608,0.604,0.616,0.0887934056751432
"NFATC2IP",2.65839472268218e-06,-0.59837357734901,0.127,0.16,0.0895719517860534
"CDK2AP2",2.66646274253775e-06,0.439705531667956,0.061,0.039,0.089843795647067
"KLHL42",2.68676128580792e-06,-0.451333979253585,0.168,0.205,0.090527734764012
"MED6",2.71788980812828e-06,-0.600811382435626,0.088,0.118,0.0915765791950743
"ZADH2",2.72285653434085e-06,-0.38594975881727,0.176,0.212,0.0917439280680805
"HIGD2A",2.77581116266219e-06,0.26105323764242,0.137,0.103,0.09352818131474
"ARMC6",2.77867539807454e-06,0.407568055086738,0.07,0.046,0.0936246888627235
"RAD23B",2.82283695307573e-06,0.245693601460372,0.194,0.153,0.0951126682969336
"C14orf1",2.85636386075365e-06,0.462521135063756,0.087,0.06,0.0962423239242336
"CITED4",2.90553888374413e-06,0.837770307025438,0.028,0.014,0.0978992271488746
"UBE2Q1",2.94244011163801e-06,0.277094390534845,0.156,0.12,0.0991425771215311
"ARID2",2.97561680204672e-06,-0.637104308718165,0.054,0.08,0.100260432528162
"DLG4",2.98240754695713e-06,0.154982977956478,0.387,0.327,0.100489239887173
"CREBL2",2.98246160483263e-06,0.296146244821721,0.091,0.064,0.100491061313231
"PTPRE",2.98956875962821e-06,-0.412543793623369,0.124,0.159,0.100730529786913
"OSBPL6",3.01046569878799e-06,-0.358869614736314,0.282,0.317,0.101434631254962
"RBM6",3.03767015216863e-06,-0.336977171102604,0.35,0.379,0.10235125810717
"GRID2",3.08534401436207e-06,-0.562464856472053,0.096,0.127,0.103957581219916
"RP11-475O6.1",3.10589595859997e-06,-1.44294767805659,0.013,0.027,0.104650058429067
"FBXW11",3.15431462415018e-06,0.337299103583967,0.143,0.109,0.106281476946116
"SEMA3A",3.18678041728965e-06,0.257194536626396,0.161,0.124,0.107375379380157
"PSMB2",3.19529225031647e-06,0.243568443449075,0.133,0.099,0.107662177082163
"RPS14",3.23129142580912e-06,-0.308270332406855,0.476,0.494,0.108875133301213
"LAS1L",3.26901455807321e-06,-0.486463297154553,0.146,0.181,0.110146176519719
"DNAJC8",3.28357867465021e-06,0.267993825993556,0.202,0.162,0.110636899863664
"ZNF37A",3.29259772918826e-06,-0.520765249774655,0.182,0.216,0.110940787887269
"TRAF3IP1",3.33138492798978e-06,-0.650667311907188,0.054,0.079,0.112247683763688
"VAMP4",3.38903307733322e-06,0.340025115284723,0.124,0.092,0.114190080507665
"EIF2AK4",3.40677402943563e-06,0.288635576203172,0.15,0.115,0.114787844147804
"MAPRE2",3.41558945729111e-06,0.199965422842135,0.351,0.299,0.115084871173967
"CNDP2",3.4168466123896e-06,0.315756430182991,0.118,0.087,0.115127229757855
"MICAL2",3.42663249240875e-06,-0.410587103505488,0.269,0.302,0.11545695519922
"MARCH9",3.48341638352123e-06,-0.627726815538165,0.052,0.076,0.117370231626364
"P4HB",3.49103865743783e-06,0.248685967224978,0.17,0.133,0.11762705652371
"ARL2BP",3.51080323627654e-06,0.257304335574853,0.168,0.13,0.118293004243102
"AIG1",3.5307346023856e-06,-0.513543578565424,0.123,0.156,0.118964571692781
"UBTD1",3.53773801946844e-06,1.03578045243507,0.023,0.01,0.11920054482797
"SCARB2",3.55219362640935e-06,0.227678411439849,0.213,0.17,0.119687612048237
"EPB41L4B",3.55297579102028e-06,-0.473479661049831,0.145,0.179,0.119713966302637
"MPRIP",3.56702335186913e-06,-0.361001452386823,0.315,0.349,0.120187284817878
"MKNK1",3.56964156696212e-06,-0.409523937952132,0.193,0.228,0.120275502957222
"B3GAT1",3.59483527318321e-06,-0.319985734097469,0.255,0.293,0.121124379694635
"RPS5",3.6037097369347e-06,0.221439890675465,0.197,0.156,0.121423395876278
"LRP8",3.6122611812209e-06,-0.711720063008991,0.062,0.088,0.121711528240057
"CTD-2023N9.2",3.61275652951289e-06,1.49994687531496,0.013,0.004,0.121728218505407
"ADAM33",3.63422310896715e-06,1.51995493680171,0.016,0.006,0.122451513433539
"TRA2B",3.68944105159958e-06,-0.379502465642072,0.261,0.298,0.124312026792596
"ABCC5",3.73422943848652e-06,-0.392876307654675,0.283,0.316,0.125821126700365
"ZNF121",3.7349907033506e-06,-0.781251013733443,0.038,0.06,0.125846776758695
"GAL",3.7652627962459e-06,1.71204072128831,0.013,0.004,0.126866764656709
"ATP6V1G1",3.79926782636451e-06,0.203952436855826,0.249,0.205,0.128012530141526
"ARAP1",3.80233066381367e-06,0.620947922337473,0.062,0.041,0.128115729386538
"LAMTOR4",3.80655901846168e-06,0.33962032424042,0.17,0.134,0.128258199568048
"SART1",3.89895441969468e-06,0.347497995213437,0.073,0.049,0.131371370217193
"CCDC24",3.92480686226245e-06,-0.576201893016701,0.074,0.102,0.132242442417071
"HCG18",3.9283977533891e-06,-0.53743341552061,0.185,0.218,0.132363433902692
"RP11-321E2.3",3.95148015678434e-06,-0.986731144074265,0.034,0.055,0.133141172402692
"PLXNA2",3.96654896497728e-06,-0.331077599163179,0.261,0.3,0.133648900825945
"CTSZ",4.02076141053866e-06,0.888059377816136,0.032,0.017,0.13547553496669
"ATP5G1",4.03419575211247e-06,0.196004354044884,0.263,0.216,0.135928191671678
"PRPF19",4.10358018389496e-06,0.203985051849352,0.25,0.206,0.138266030716157
"WASH1",4.10702154860147e-06,0.284766828169221,0.217,0.175,0.138381984058578
"C12orf45",4.11135662024057e-06,-0.774849855366627,0.045,0.068,0.138528049962386
"RAB11A",4.16622898369869e-06,0.289123946735592,0.22,0.177,0.140376919376744
"GNAO1",4.21429975124946e-06,0.152952714444124,0.551,0.485,0.141996615818599
"RASGEF1A",4.22548666191018e-06,0.267317122398182,0.14,0.106,0.142373547586402
"POLR2J",4.38612015784971e-06,0.291370823792118,0.115,0.085,0.147785932598588
"THNSL2",4.38676472506821e-06,-2.16199705279635,0.003,0.012,0.147807650646448
"CALN1",4.40946490330166e-06,0.365524114594401,0.08,0.055,0.148572510451846
"SIPA1L1",4.43091457691701e-06,-0.29525973605503,0.459,0.48,0.149295235754642
"TMEM33",4.48420550074248e-06,0.301352998700807,0.144,0.11,0.151090820142017
"PRPF8",4.61197070684945e-06,0.19848451158655,0.214,0.171,0.155395740996585
"GDE1",4.63530493551715e-06,0.336240952447436,0.12,0.09,0.156181964497315
"PDE6D",4.65444439103814e-06,0.63137437447585,0.037,0.02,0.156826849311639
"P4HA2",4.68219452651742e-06,0.528842238431879,0.056,0.035,0.157761862376478
"VPS13A",4.69887032067588e-06,-0.281796018732153,0.43,0.455,0.158323736584853
"KIAA0368",4.72019451947727e-06,-0.426639248060777,0.207,0.241,0.159042234139267
"NLRP2",4.75225321047814e-06,0.858459511120762,0.017,0.007,0.16012241967385
"BRK1",4.7717901826798e-06,0.161017527298973,0.29,0.24,0.160780698415213
"TAF6L",4.78713413546887e-06,0.828713880160124,0.027,0.013,0.161297697560488
"BUB3",4.78906441703413e-06,0.36119583976586,0.118,0.087,0.161362736467548
"BRD9",4.78906813968613e-06,0.234039540386092,0.149,0.114,0.161362861898584
