gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
FGD1,13.4636945120228,-4.17441639104663e-07,0.00144268627646523,0.843481307927606,0.99996562873245
GNL3L,3.97790643726584,-2.08943536808493e-06,0.00144269271808387,0.323252769816437,0.99996562873245
MAGED2,34.591651766463,-2.04845644553526e-06,0.00144267918289129,0.357447248327639,0.99996562873245
TRO,39.7372691733774,3.09860055032233e-06,0.00144267541444223,0.405982093168682,0.99996562873245
PFKFB1,0.154250404369155,2.23573525988401e-07,0.0014426949773448,0.838648332391799,0.99996562873245
APEX2,4.92914223134714,1.15801561832874e-06,0.00144269078300746,0.512407297322589,0.99996562873245
PAGE2B,0.0785740427759792,1.48056398639099e-07,0.00144269497740961,0.994276119930844,0.99996562873245
FAM104B,8.3171332465993,-6.23473025449866e-07,0.00144268745560534,0.264021958321969,0.99996562873245
MTRNR2L10,0.165877534813597,-2.9653355188839e-08,0.00144269491017855,0.852288761034433,0.99996562873245
MAGEH1,36.3692813541411,-1.97523777718801e-06,0.00144268083179615,0.692354979914923,0.99996562873245
USP51,13.0362385471536,-1.39434028679798e-07,0.00144268415273412,0.956807304189338,0.99996562873245
RRAGB,9.67773267470384,-3.96841878738729e-08,0.00144268815642322,0.941726928624778,0.99996562873245
RP13-188A5.1,0.998346156026647,6.65572897366638e-07,0.00144269435599658,0.392505463925816,0.99996562873245
KLF8,11.5305333882995,3.72311939469545e-06,0.00144269121977265,0.0985248637169648,0.99996562873245
UBQLN2,84.1797032706419,-1.73174443062548e-06,0.00144268145005468,0.58585133676183,0.99996562873245
LINC01420,13.8544740483931,7.48238587191744e-07,0.00144268786733013,0.74745271259475,0.99996562873245
RP11-445O16.3,0.330949717241407,1.64988609623777e-07,0.00144269478315624,0.820129897755039,0.99996562873245
SPIN3,5.46194877231088,5.3462548923422e-07,0.00144269092600452,0.748036082101359,0.99996562873245
SPIN2B,9.7079457645812,6.04454673664137e-07,0.00144269012200798,0.750590332649155,0.99996562873245
RP3-323P24.3,1.58307031005524,4.82845776305408e-07,0.00144269372976315,0.627333384579249,0.99996562873245
SPIN2A,1.06397872266136,1.76341536191199e-07,0.00144269421078629,0.833394267173589,0.99996562873245
FAAH2,3.62443448417499,-1.59932278953416e-07,0.00144269171569406,0.902582182581166,0.99996562873245
ZXDB,6.09120246074945,-1.20993031648596e-06,0.00144269047953597,0.471970698495954,0.99996562873245
NLRP2P,1.18562648474719,-1.79229095402291e-06,0.00144269485229293,0.0163755355049731,0.99996562873245
ZXDA,1.51164020224713,-3.88972022629949e-07,0.00144269380979415,0.70747622351985,0.99996562873245
SPIN4,4.52471758199497,-2.92782065224879e-07,0.00144269132085369,0.90929132746699,0.99996562873245
SPIN4-AS1,0.223713477016512,-9.07183440393085e-08,0.00144269489190198,0.836979126305597,0.99996562873245
ARHGEF9,109.0853456508,-5.13023050929829e-07,0.0014426512087832,0.541616607942783,0.99996562873245
AMER1,1.68214550965989,1.31989798763406e-06,0.00144269375451693,0.233617926629994,0.99996562873245
MTMR8,0.0785740427759792,1.48056398639099e-07,0.00144269497740961,0.994276119930844,0.99996562873245
ZC4H2,6.38058611283428,3.09594893969399e-07,0.00144268879759604,0.885525088706603,0.99996562873245
ZC3H12B,16.4434749164005,-2.14757704132203e-06,0.00144268431699274,0.457625055891848,0.99996562873245
LAS1L,40.72709721772,6.03760707469276e-06,0.00144267996795456,0.108750567360848,0.99996562873245
MSN,0.39038286841255,-2.50599283891014e-07,0.00144269478839178,0.585775142450839,0.99996562873245
HEPH,0.531649876604476,-4.98121783066694e-07,0.00144269478359495,0.359686916467147,0.99996562873245
AR,3.08050887247777,-2.76547862075865e-07,0.00144269250610225,0.836758560224476,0.99996562873245
