gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
SUPT7L,2.62185374549105,6.84526361022684e-08,0.00144269180650148,0.976727507121797,0.999942979864454
SLC4A1AP,1.20829302090672,1.00420654816965e-06,0.00144269411163988,0.66299182654773,0.999942979864454
MRPL33,1.71047259981653,5.63401092270595e-07,0.00144269333311945,0.649076280243411,0.999942979864454
RBKS,0.109287135021529,1.83170564658293e-07,0.00144269498094514,0.867546963591971,0.999942979864454
BRE,1.40412526020426,2.44939747070602e-07,0.00144269367521905,0.857639012613273,0.999942979864454
FOSL2,1.02781922267947,7.01510710868378e-07,0.00144269417498604,0.449820428485776,0.999942979864454
PPP1CB,4.99844483143033,1.6530420428062e-06,0.00144268977790006,0.42417383386958,0.999942979864454
TRMT61B,1.10072114725488,2.08257319705252e-07,0.00144269419258595,0.877733327880601,0.999942979864454
WDR43,1.30883062372449,-8.12506927808478e-07,0.00144269364465763,0.445056248679351,0.999942979864454
FAM179A,0.254504316570665,6.55466076151347e-08,0.00144269491676594,0.909557101944999,0.999942979864454
CLIP4,1.57218277852069,-9.68199084121528e-07,0.00144269333558492,0.445056270405159,0.999942979864454
YPEL5,3.40328679774726,-7.60954776842366e-07,0.00144269124104465,0.718714403665303,0.999942979864454
LBH,0.487084323937325,4.31240460416865e-07,0.00144269480423223,0.468487469299993,0.999942979864454
LCLAT1,1.7838829888008,-1.97931223175023e-06,0.00144269357013094,0.118804891176264,0.999942979864454
GALNT14,0.236530989294982,1.1115080972667e-07,0.00144269492217697,0.86430514752639,0.999942979864454
EHD3,1.7370135107134,2.27167914638282e-07,0.00144269316377019,0.866839925621014,0.999942979864454
SRD5A2,0.0371648469088972,1.12035186729579e-07,0.00144269498436746,0.969210693888977,0.999942979864454
RP11-1057B6.1,0.0746693354616953,-1.97926466493886e-07,0.00144269499099454,0.657636262258738,0.999942979864454
MEMO1,4.32431683255071,2.67036434159634e-06,0.00144269131667837,0.165401302391608,0.999942979864454
DPY30,2.57865559613489,-1.76365476801135e-06,0.001442692585708,0.229875900065776,0.999942979864454
CTC-336P14.1,0.0204758573908343,9.08845824065069e-08,0.00144269498819381,0.908794979455302,0.999942979864454
SPAST,1.58917299880152,-1.0187879016594e-06,0.00144269348624571,0.352717190031597,0.999942979864454
RP11-563N4.1,0.0620294142281784,-1.90190426373444e-07,0.0014426949900988,0.67140558762814,0.999942979864454
SLC30A6,0.449905859514647,8.55901627897762e-08,0.00144269481546639,0.893259822300154,0.999942979864454
YIPF4,4.98631745499382,7.2133829758863e-07,0.00144269009140845,0.7562688551908,0.999942979864454
AL133245.2,0.11967011852791,-6.34207871669729e-09,0.00144269492153017,0.897686534790293,0.999942979864454
BIRC6,5.19009269688529,9.2723546766667e-08,0.00144268848980387,0.967752260172188,0.999942979864454
TTC27,0.145863762742887,2.02018170815884e-07,0.00144269498321794,0.79560995605295,0.999942979864454
LTBP1,0.0985924190814,1.87191655808152e-07,0.00144269497961346,0.864016048643676,0.999942979864454
RASGRP3,0.0620294142281784,-1.90190426373444e-07,0.0014426949900988,0.67140558762814,0.999942979864454
AC020594.5,0.0204758573908343,9.08845824065069e-08,0.00144269498819381,0.908794979455302,0.999942979864454
FAM98A,1.34696491027092,4.0185785428395e-07,0.00144269363443324,0.730859452510734,0.999942979864454
RP11-529E15.1,0.0620294142281784,-1.90190426373444e-07,0.0014426949900988,0.67140558762814,0.999942979864454
RP11-490M8.1,0.792542112991695,1.92004595966169e-07,0.00144269432153948,0.843989740430701,0.999942979864454
CRIM1,2.98651151262592,-1.91899279295968e-07,0.00144269125656327,0.896755689770507,0.999942979864454
FEZ2,5.19997337863904,4.02200488828419e-07,0.00144268855878521,0.969917506874132,0.999942979864454
STRN,0.420866825772121,-1.5709338185382e-08,0.00144269474975615,0.938198842000929,0.999942979864454
HEATR5B,0.754684540457578,-6.38635820792768e-07,0.00144269453567987,0.348048019802761,0.999942979864454
GPATCH11,0.726739681017399,3.61148873632983e-07,0.00144269445437609,0.652696759976203,0.999942979864454
EIF2AK2,1.52464899322486,-4.92734355079613e-07,0.00144269315828018,0.669726079654293,0.999942979864454
CEBPZOS,1.79886497884075,7.15796413772188e-07,0.00144269319201629,0.551360075136989,0.999942979864454
CEBPZ,2.16422305630051,-1.30684228469316e-06,0.00144269310762804,0.31461673813239,0.999942979864454
NDUFAF7,1.47691997856321,-1.25420254374425e-07,0.00144269351205726,0.860702389553401,0.999942979864454
PRKD3,0.867653240244925,6.31922477434709e-07,0.00144269454337197,0.396303460977663,0.999942979864454
QPCT,0.0991942611370756,-4.62913813131582e-08,0.00144269493375322,0.829814634734632,0.999942979864454
CDC42EP3,0.363479719158445,6.77871404475197e-08,0.0014426948159916,0.938202524711629,0.999942979864454
RMDN2,0.888993372762992,-2.56502527684757e-07,0.00144269447386621,0.568641467930943,0.999942979864454
CYP1B1,3.04567933782914,-5.45470535058547e-07,0.00144269143508221,0.701217775080214,0.999942979864454
CYP1B1-AS1,1.29707950924321,-6.11886220113357e-07,0.00144269413143831,0.480067266344804,0.999942979864454
ATL2,2.52547568453741,-6.45987503728454e-07,0.00144269225047155,0.642390362907227,0.999942979864454
HNRNPLL,1.96798757666845,-1.20758677291148e-06,0.00144269290847371,0.358099438501245,0.999942979864454
GALM,0.391966813036429,-6.78590357390133e-08,0.00144269486080102,0.844314846025069,0.999942979864454
SRSF7,10.8025649803472,2.29670286499984e-06,0.00144268663669235,0.391585136526886,0.999942979864454
GEMIN6,0.15185803632082,9.95302546942878e-08,0.00144269497759314,0.770399411035129,0.999942979864454
DHX57,2.56439953235091,-2.2469681839474e-07,0.00144269234893527,0.870161841835049,0.999942979864454
MORN2,0.0614275721725028,1.6041745996904e-07,0.00144269497811341,0.945251003607164,0.999942979864454
ARHGEF33,0.224908185264893,7.55907096138162e-08,0.00144269491711712,0.926705095737016,0.999942979864454
RP11-173C1.1,0.163525357584821,-3.66098884582742e-08,0.00144269492930257,0.841327384511868,0.999942979864454
SOS1,3.13811508295733,-1.85250750090912e-06,0.00144269178699461,0.360211071220554,0.999942979864454
CDKL4,0.72873517660431,-2.05290512836707e-07,0.00144269483963139,0.816113309359024,0.999942979864454
MAP4K3,1.76071729673162,-8.72421764079793e-07,0.0014426931892922,0.546732568941193,0.999942979864454
AC007246.3,3.61139526463035,1.21649001676733e-06,0.00144269171010189,0.469077628553191,0.999942979864454
TMEM178A,5.80408600985379,2.81478678959932e-06,0.00144268990907958,0.196677998061729,0.999942979864454
THUMPD2,2.08098114782064,-1.83588319744809e-07,0.00144269221721734,0.905257206566601,0.999942979864454
SLC8A1-AS1,0.243728946984267,-1.44694719708813e-07,0.00144269492646499,0.704414714111351,0.999942979864454
SLC8A1,27.0541062946095,-3.7405775280107e-06,0.00144268207795519,0.246435496397411,0.999942979864454
PKDCC,6.05818184210991,2.74508083370942e-06,0.00144268924394215,0.230905854536124,0.999942979864454
AC083949.1,0.121930443845552,-2.15752447756877e-07,0.00144269499406685,0.657636262258738,0.999942979864454
EML4,2.95977496882398,1.19329517435447e-06,0.00144269165621484,0.554817357729819,0.999942979864454
COX7A2L,6.67573472032112,2.06451720782272e-06,0.00144268862236399,0.363303291966832,0.999942979864454
MTA3,1.44026734085482,4.62623911310078e-07,0.00144269355289821,0.691259315930097,0.999942979864454
THADA,1.18273140386892,-6.4066010736104e-07,0.00144269432055535,0.428129182572056,0.999942979864454
DYNC2LI1,4.18633311409011,1.28005474579106e-06,0.00144269008720454,0.535183693479477,0.999942979864454
ABCG5,0.0576407042997315,1.64548370321854e-07,0.00144269498005731,0.961679004487134,0.999942979864454
ABCG8,0.0204758573908343,9.08845824065069e-08,0.00144269498819381,0.908794979455302,0.999942979864454
LRPPRC,2.6112785635817,-1.48002181245998e-07,0.0014426913635809,0.943232940171463,0.999942979864454
RP11-559M23.1,0.0897838829545662,-2.04450736893119e-07,0.00144269499199339,0.657636262258738,0.999942979864454
PPM1B,3.60491253009139,8.07936669129949e-07,0.00144269029262596,0.934519025248335,0.999942979864454
SLC3A1,0.121930443845552,-2.15752447756877e-07,0.00144269499406685,0.657636262258738,0.999942979864454
PREPL,20.5345739620002,-1.26866621660238e-06,0.00144268508763162,0.646101048460642,0.999942979864454
CAMKMT,0.365057548774143,-1.22431332039072e-07,0.00144269485050424,0.743151961948403,0.999942979864454
PRKCE,10.4887228401327,-1.64371351520187e-06,0.00144268562639219,0.521665387799926,0.999942979864454
ATP6V1E2,0.624731157331423,9.90736406262575e-08,0.00144269453080469,0.924616224313799,0.999942979864454
RHOQ,1.71163019043536,2.18427750513021e-06,0.00144269444870158,0.0472909579808734,0.999942979864454
PIGF,0.72230078420279,1.52477677403102e-07,0.00144269452489997,0.874904397991084,0.999942979864454
CRIPT,0.667157595230148,-3.4859315985141e-07,0.00144269449891247,0.579716333860246,0.999942979864454
SOCS5,1.44570428961099,3.70903107991557e-07,0.00144269351236721,0.758985401363249,0.999942979864454
RP11-333I13.1,0.0576407042997315,1.64548370321854e-07,0.00144269498005731,0.961679004487134,0.999942979864454
LINC01118,0.0371648469088972,1.12035186729579e-07,0.00144269498436746,0.969210693888977,0.999942979864454
LINC01119,0.072122288112632,1.43546488696196e-07,0.00144269498302136,0.996198531817554,0.999942979864454
MCFD2,1.37494457382134,6.0109344633731e-07,0.0014426935059842,0.594292624598547,0.999942979864454
TTC7A,0.204432327874059,5.52985908431372e-08,0.00144269491708333,0.971498778724211,0.999942979864454
CALM2,56.6872328830625,-5.3458956754007e-07,0.00144268677412075,0.959655468960949,0.999942979864454
BCYRN1,51.0575768836401,1.33105904313022e-06,0.00144268886590686,0.543215769023366,0.999942979864454
EPCAM,0.0737414746302545,1.42877197826887e-07,0.00144269498294517,0.996198532042987,0.999942979864454
MSH2,1.95151238373152,-2.135557159721e-07,0.0014426927408829,0.858835844345435,0.999942979864454
KCNK12,2.20384422262425,1.30583617347979e-06,0.00144269396860381,0.201630539443611,0.999942979864454
MSH6,0.523221591106646,2.60612455179449e-07,0.00144269464855544,0.700606158030254,0.999942979864454
FBXO11,3.09146705493868,7.50210602408476e-07,0.00144269110432586,0.66589842152192,0.999942979864454
FOXN2,0.316269897835157,-1.71885613372825e-07,0.00144269490155842,0.58487244784326,0.999942979864454
RP11-191L17.1,1.30390693092282,-7.25477811878112e-07,0.00144269420679728,0.396980387695247,0.999942979864454
PPP1R21,2.36734440342362,7.76489681550931e-07,0.00144269202402293,0.635249067682529,0.999942979864454
STON1,0.0897838829545662,-2.04450736893119e-07,0.00144269499199339,0.657636262258738,0.999942979864454
NRXN1,18.1338400398009,9.59215578545139e-07,0.00144268176285246,0.763739615709464,0.999942979864454
ASB3,0.639499463175745,2.38433065874137e-08,0.00144269447992395,0.988732290581928,0.999942979864454
ERLEC1,2.43673188629707,2.12498357329516e-07,0.00144269241352793,0.883428781849011,0.999942979864454
GPR75,0.0204758573908343,9.08845824065069e-08,0.00144269498819381,0.908794979455302,0.999942979864454
PSME4,2.10825858644821,5.1442817019935e-07,0.00144269229729563,0.737572124751285,0.999942979864454
ACYP2,1.78966950763733,3.99265677035361e-08,0.00144269280309207,0.982655541954987,0.999942979864454
C2orf73,0.0985924190814,1.87191655808152e-07,0.00144269497961346,0.864016048643676,0.999942979864454
SPTBN1,9.03380112043936,-1.52372486441685e-06,0.0014426867713377,0.607056660404587,0.999942979864454
EML6,2.24023078693965,5.77354642860668e-07,0.00144269225866005,0.699220426301222,0.999942979864454
RTN4,18.1547391044637,9.20400909535125e-07,0.00144268329832516,0.688973065412697,0.999942979864454
CLHC1,0.746555112442183,-5.46797214488158e-07,0.00144269452026447,0.403566046949568,0.999942979864454
RPS27A,3.63972452506248,2.43948825809396e-06,0.00144269195479703,0.162270327340702,0.999942979864454
MTIF2,0.475950247445159,1.49101779476451e-07,0.00144269475849875,0.801330344296502,0.999942979864454
AC012358.8,0.124058828456357,-2.18521456002093e-07,0.00144269499378691,0.574973243390693,0.999942979864454
CCDC88A,21.5592343676919,3.50592237133191e-06,0.00144268764686052,0.314326983892004,0.999942979864454
CFAP36,1.54791051482461,1.06225436145934e-06,0.00144269345100504,0.642554992968727,0.999942979864454
PPP4R3B,1.3756876281378,-7.05958814159103e-07,0.00144269358995198,0.500831802206801,0.999942979864454
RP11-554J4.1,0.145863762742887,2.02018170815884e-07,0.00144269498321794,0.79560995605295,0.999942979864454
PNPT1,4.22431906559675,-1.60496857742938e-06,0.00144269008589934,0.4187722624088,0.999942979864454
AC007743.1,0.142406301236386,-1.45596090403639e-07,0.00144269495190156,0.756890187237681,0.999942979864454
CCDC85A,1.20135982562076,-2.76260337073828e-07,0.00144269399769347,0.735739919126791,0.999942979864454
FANCL,0.652022218827123,2.60375486264157e-07,0.0014426945915393,0.716583915175337,0.999942979864454
RP11-334G22.1,0.0371648469088972,1.12035186729579e-07,0.00144269498436746,0.969210693888977,0.999942979864454
LINC01122,0.739611349866632,-3.87857347443449e-07,0.00144269432863706,0.590202488117749,0.999942979864454
