"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NTM",2.33713793888525e-51,-0.54006178361243,0.422,0.548,7.87475257127997e-47
"LINC00685",8.03186050620245e-51,-1.01231441794917,0.12,0.222,2.70625507895985e-46
"PABPN1",1.65712297380575e-50,-0.552007656155745,0.415,0.544,5.58351014794109e-46
"PODXL2",6.63797401515311e-50,0.605107033920461,0.326,0.203,2.23659896466569e-45
"PKM",8.45281278505123e-50,0.349651092093333,0.766,0.682,2.84809073979516e-45
"NKTR",9.35979915864048e-50,-0.567479905613268,0.478,0.596,3.15369072851232e-45
"SUGP2",2.07806484662595e-49,-0.493850138815453,0.476,0.6,7.00183169422148e-45
"MT-ND3",3.22760881203964e-49,0.143324274169366,0.956,0.884,1.08751051312864e-44
"MT-ND4L",4.08904358904826e-49,0.491266349378552,0.467,0.343,1.37776234689392e-44
"PEBP1",4.37274007650783e-49,0.269209525556912,0.868,0.81,1.47335104137855e-44
"RPS26",6.93881904745695e-49,-0.690688949536902,0.24,0.361,2.33796568985015e-44
"SNTG1",8.58309289573781e-49,-0.643503689183909,0.306,0.428,2.8919873202899e-44
"NTRK3",1.23564699472872e-48,-0.510048269849252,0.42,0.543,4.16338898403896e-44
"NFASC",2.32202414311671e-48,-0.608880053980001,0.35,0.472,7.82382814781743e-44
"AP2S1",4.41864468830077e-48,0.647533395412594,0.394,0.287,1.48881814127606e-43
"GLTSCR2",3.71017923553479e-47,1.06193882598542,0.162,0.079,1.25010779162109e-42
"RBFOX2",5.47674262693496e-47,-0.470456745364859,0.448,0.573,1.84533366071947e-42
"GADD45GIP1",5.85653363440236e-47,0.8538930377682,0.259,0.16,1.97330044277553e-42
"HSP90AB1",1.2085958721333e-46,0.232558712342753,0.913,0.864,4.07224293156595e-42
"CEBPB",1.61345373117764e-46,1.010903554252,0.161,0.079,5.43637100182995e-42
"RPL12",2.90008596556798e-46,-0.706556690812219,0.2,0.314,9.77154965238474e-42
"PCDH9",4.04890841424264e-46,-0.322492726956519,0.82,0.865,1.36423920109491e-41
"AJ006998.2",7.75595097356559e-46,-1.43161372302642,0.044,0.114,2.61329012103319e-41
"BASP1",1.21837857116325e-45,0.259624066885343,0.881,0.833,4.10520475767745e-41
"LINC00632",1.46898571523569e-45,-0.634504927612132,0.484,0.572,4.94960046891514e-41
"AGRN",1.51250160018287e-45,-0.781002408240601,0.144,0.248,5.09622289165617e-41
"ZMYM3",2.17970717273308e-45,0.543184918949205,0.45,0.341,7.34430534780686e-41
"SAT1",7.85704526343765e-45,-0.578629377294677,0.312,0.427,2.64735283106268e-40
"TCEB2",2.31905187323262e-44,0.480965549633066,0.56,0.47,7.81381338166999e-40
"ARF5",4.25173409821682e-44,0.826448360654263,0.242,0.149,1.43257928705318e-39
