"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COG6",0.853179014786878,-1.71365107594122,0.012,0.015,1
"GLCE",0.853179014786878,-1.03446312729658,0.012,0.015,1
"UBL7-AS1",0.853179014786878,-1.5701956830175,0.012,0.015,1
"LAT",0.853179014786878,-1.05260622803267,0.012,0.015,1
"RP11-297D21.4",0.853179014786878,-0.756924230457523,0.012,0.015,1
"SLC16A11",0.853179014786878,-0.614524513216481,0.012,0.015,1
"SHMT1",0.853179014786878,-1.27707177256502,0.012,0.015,1
"RND2",0.853179014786878,-1.08942405289732,0.012,0.015,1
"MIR7-3HG",0.853179014786878,-1.52282107108702,0.012,0.015,1
"CTC-559E9.1",0.853179014786878,-0.534740987644517,0.012,0.015,1
"LRFN3",0.853179014786878,-0.957273367037713,0.012,0.015,1
"ZFP28",0.853179014786878,-1.58906483509577,0.012,0.015,1
"BCL2L13",0.853179014786878,-1.40105934906926,0.012,0.015,1
"MED13",0.853646687333677,-0.762161118837404,0.074,0.078,1
"ECM1",0.853663463239245,-0.242159658336822,0.025,0.021,1
"DCK",0.853663463239245,-0.510831478758877,0.025,0.021,1
"SHROOM3",0.853663463239245,-0.509809715876322,0.025,0.021,1
"MTRR",0.853663463239245,-0.656915370348873,0.025,0.021,1
"LRRC4",0.853663463239245,-0.592902623824263,0.025,0.021,1
"TRIAP1",0.853663463239245,-1.0155347413507,0.025,0.021,1
"ETFA",0.853663463239245,-0.77878856645555,0.025,0.021,1
"CORO7",0.853663463239245,-0.711784406567291,0.025,0.021,1
"RP11-582J16.4",0.854123044653802,-0.397832637942802,0.062,0.066,1
"RUNDC3A",0.854159592945897,-0.131052375674986,0.099,0.105,1
"RYBP",0.854243976068482,0.252108099297527,0.037,0.042,1
"UBR1",0.854984821246698,0.233047563018685,0.049,0.045,1
"MRPL11",0.855140845504467,-0.419217783633936,0.012,0.015,1
"RAB3A",0.855161979742848,-0.48849369569922,0.123,0.126,1
"NTPCR",0.855223850969611,-0.158654512574221,0.049,0.054,1
"TSC22D3",0.855614489475372,-0.655037165193285,0.074,0.066,1
"CH17-189H20.1",0.8556296718564,0.237769728494975,0.111,0.105,1
"ASPSCR1",0.855649798187586,-0.135721898254174,0.086,0.093,1
"SDAD1",0.855696977491986,0.29546084103538,0.037,0.033,1
"CYP2U1",0.855696977491986,0.104560145433521,0.037,0.033,1
"CLTA",0.856460990624788,-0.206505397176212,0.099,0.09,1
"MIB1",0.856607310355482,0.206172495737195,0.037,0.042,1
"APOL2",0.856607310355482,0.198884873213276,0.037,0.042,1
"UBE2E2",0.856879882722272,-1.07870734771322,0.025,0.021,1
"PIGZ",0.856879882722272,-0.160822921402244,0.025,0.021,1
"MATR3.1",0.856879882722272,-0.348710395762348,0.025,0.021,1
"MTO1",0.856879882722272,-0.654987067520119,0.025,0.021,1
"PTP4A3",0.856879882722272,-0.925000860438844,0.025,0.021,1
"SMIM10L1",0.856879882722272,-0.508000082866511,0.025,0.021,1
"VPS33B",0.856879882722272,-0.756565079666217,0.025,0.021,1
"AC005253.2",0.856879882722272,-0.615385920224243,0.025,0.021,1
"CFAP46",0.857103715409057,-0.532689223636068,0.012,0.015,1
"HFM1",0.85710385487903,-0.704999906773368,0.012,0.015,1
"TXNDC9",0.85710385487903,-1.11265228328624,0.012,0.015,1
"CAPN10-AS1",0.85710385487903,-0.762455401902046,0.012,0.015,1
"LIMD1",0.85710385487903,-0.852866344169679,0.012,0.015,1
"ABHD10",0.85710385487903,-0.495642492271555,0.012,0.015,1
"DTWD2",0.85710385487903,-0.487761455530002,0.012,0.015,1
"RNF144B",0.85710385487903,-0.597839663197355,0.012,0.015,1
"SLC39A7",0.85710385487903,-0.431499563285614,0.012,0.015,1
"LRRC73",0.85710385487903,-0.480352055150513,0.012,0.015,1
"ARMC2",0.85710385487903,-0.181983717030327,0.012,0.015,1
"SYNJ2",0.85710385487903,-0.650870816082969,0.012,0.015,1
"FRMPD4",0.85710385487903,-0.397056731378464,0.012,0.015,1
"DRP2",0.85710385487903,-0.79887764773949,0.012,0.015,1
"ZCCHC18",0.85710385487903,-1.48268242046759,0.012,0.015,1
"RHOXF1",0.85710385487903,-0.298786068923678,0.012,0.015,1
"NSDHL",0.85710385487903,-0.529614060716544,0.012,0.015,1
"RP11-10C8.2",0.85710385487903,-0.361640364014868,0.012,0.015,1
"ZNF251",0.85710385487903,-0.297462858610999,0.012,0.015,1
"ZNF250",0.85710385487903,-0.341249047794757,0.012,0.015,1
"JAK2",0.85710385487903,-0.819735172533672,0.012,0.015,1
"TOR1A",0.85710385487903,-0.311244894017211,0.012,0.015,1
"PRDM11",0.85710385487903,0.138308477764373,0.012,0.015,1
"FADD",0.85710385487903,-0.513384869091495,0.012,0.015,1
"TBC1D30",0.85710385487903,-1.08196081717659,0.012,0.015,1
"ING1",0.85710385487903,-0.579203120183853,0.012,0.015,1
"DNAAF2",0.85710385487903,-1.1268587579565,0.012,0.015,1
"EIF2S1",0.85710385487903,-1.17265251281847,0.012,0.015,1
"SNAI3-AS1",0.85710385487903,-0.28835315689623,0.012,0.015,1
"RP11-74E22.8",0.85710385487903,-0.53673632629585,0.012,0.015,1
"ZNF594",0.85710385487903,-1.15069404086024,0.012,0.015,1
"ALOX12-AS1",0.85710385487903,-0.241273260621695,0.012,0.015,1
"MYO15A",0.85710385487903,-0.477961415914516,0.012,0.015,1
"VAT1",0.85710385487903,-0.626614485723647,0.012,0.015,1
"CTNNBL1",0.85710385487903,-0.405981874853815,0.012,0.015,1
"KCNN1",0.85710385487903,-0.507369874881268,0.012,0.015,1
"SSC5D",0.85710385487903,-0.229241485213679,0.012,0.015,1
"TMEM191C",0.85710385487903,-0.32215198334726,0.012,0.015,1
"TOP3B",0.85710385487903,-0.68031985127155,0.012,0.015,1
"CDPF1",0.85710385487903,-0.284148087439017,0.012,0.015,1
"ZNF397",0.857197688892455,-0.358742283393078,0.086,0.09,1
"KIAA0586",0.857226149323351,0.265317871389559,0.049,0.045,1
"MAFG",0.857287165324581,-0.311173862911923,0.111,0.099,1
"RPL7",0.857291338779944,0.109269375680168,0.185,0.177,1
"MGRN1",0.857973341892265,0.187340728494627,0.062,0.057,1
"PARK7",0.858083973281685,-0.109608089072224,0.099,0.09,1
"ATP8B2",0.85829264898937,0.235629276844823,0.037,0.033,1
"OSBPL6",0.85830939111704,-0.417232436950878,0.148,0.132,1
"NDUFC2",0.858764323511369,-0.250239198853028,0.099,0.105,1
"SH3GLB2",0.85876434458671,-0.329250805958779,0.111,0.102,1
"SHC2",0.85891175128226,-0.489576332365584,0.074,0.078,1
"MATK",0.859468629177984,0.374759203957966,0.049,0.045,1
"MLST8",0.859820502275989,-0.360002492033713,0.062,0.066,1
"NBPF1",0.86009868068512,-0.602935398024458,0.025,0.021,1
"HEG1",0.86009868068512,-0.606678082746022,0.025,0.021,1
"IDI2-AS1",0.86009868068512,-0.831302218720424,0.025,0.021,1
"ASCC1",0.86009868068512,-0.915977929178054,0.025,0.021,1
"USP43",0.86009868068512,-1.22684732419104,0.025,0.021,1
"ZSWIM7",0.86009868068512,-0.782195461855713,0.025,0.021,1
"FNBP4",0.860482266068461,-0.452845649844898,0.111,0.114,1
"TBC1D20",0.860889853315459,0.114333123105116,0.037,0.033,1
"ZNF134",0.860889853315459,-0.173182129624499,0.037,0.033,1
"LINC00205",0.860889853315459,0.163131929826025,0.037,0.033,1
"TCEB3",0.861032231347925,0.226790414700225,0.012,0.015,1
"GPR89B",0.861032231347925,-0.125294733346193,0.012,0.015,1
"FAM78B",0.861032231347925,-0.224813174547111,0.012,0.015,1
"DPYSL5",0.861032231347925,-0.521038366661312,0.012,0.015,1
"TRNT1",0.861032231347925,-0.145737565544338,0.012,0.015,1
"PDE12",0.861032231347925,-0.249115693255285,0.012,0.015,1
"ARL6",0.861032231347925,0.141037880199046,0.012,0.015,1
"PPIC",0.861032231347925,0.194074499874797,0.012,0.015,1
"VARS",0.861032231347925,0.120438283440864,0.012,0.015,1
"SDHAF4",0.861032231347925,-0.219976981652966,0.012,0.015,1
"NEUROD6",0.861032231347925,-0.104419038187548,0.012,0.015,1
"LZTS1",0.861032231347925,-0.151281774493786,0.012,0.015,1
"JRK",0.861032231347925,-0.219832189565147,0.012,0.015,1
"CBWD3",0.861032231347925,0.180027796505686,0.012,0.015,1
"RGS3",0.861032231347925,0.100558526083597,0.012,0.015,1
