"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SCRN3",0.914055869030329,-0.495033551402734,0.041,0.043,1
"CDKN2AIP",0.914055869030329,-0.58774440035897,0.041,0.043,1
"DERL1",0.914055869030329,-0.279538376300775,0.041,0.043,1
"P2RX4",0.914055869030329,-0.772701110761892,0.041,0.043,1
"LYPD5",0.914055869030329,-0.376124484398857,0.041,0.043,1
"RPE",0.914504481550603,-0.117406315519956,0.151,0.144,1
"GPR137",0.914892028010385,0.70254410945001,0.096,0.094,1
"MAGOHB",0.915570750375908,-0.119027537837107,0.068,0.072,1
"SCARA3",0.916320741440169,0.24791620364916,0.082,0.079,1
"RLIM",0.916571689044136,0.141059836139123,0.11,0.108,1
"PSMD6",0.916677023922201,0.824945792387791,0.096,0.108,1
"MPP1",0.916682200916997,0.327139881043696,0.178,0.187,1
"EIF2B5",0.916682258163361,-0.303161472767906,0.192,0.18,1
"CDON",0.916994356439905,-0.103455288512018,0.055,0.05,1
"RIMS1",0.917073058646243,0.379299188795225,0.123,0.137,1
"ZNF449",0.917171239706233,0.424077386834201,0.068,0.065,1
"LAS1L",0.917551737397475,-0.107518851287103,0.274,0.273,1
"TERF1",0.917551779342801,0.171997014524015,0.274,0.273,1
"DEAF1",0.917719689357544,0.249410365254251,0.164,0.18,1
"SMCHD1",0.917754912967344,0.491913722360533,0.192,0.201,1
"NUDT6",0.917990520729626,-0.118311885113575,0.055,0.058,1
"CALN1",0.917990520729626,-0.154465837924328,0.055,0.058,1
"TDP1",0.917990520729626,0.275223093275032,0.055,0.058,1
"KLHL23",0.918310014608314,0.178201656986338,0.137,0.137,1
"SPEN",0.918325885245094,0.169033071681944,0.192,0.194,1
"SLC22A23",0.918579210708022,0.122908308423499,0.096,0.094,1
"MARK1",0.918626010498226,-0.188867411179536,0.205,0.216,1
"MCTP1",0.918662217410149,-0.271525274432215,0.137,0.129,1
"DAB2",0.919408461953383,-0.380585609427202,0.041,0.043,1
"GPATCH4",0.919777583614663,-0.220413914750962,0.068,0.072,1
"ZBTB16",0.919950053236041,-0.173540600295976,0.233,0.23,1
"UTP6",0.920035867099427,0.187115067546411,0.11,0.108,1
"MECR",0.920341833471912,-0.257839639818975,0.096,0.101,1
"RNF128",0.920408021390668,-0.221418513470841,0.082,0.086,1
"RWDD1",0.920547376819507,0.159862322280974,0.164,0.18,1
"TMED10",0.920938969604794,0.188041626214668,0.123,0.122,1
"MTMR14",0.921516169232553,0.406183949016177,0.068,0.065,1
"RP11-498P14.5",0.921516169232553,-0.168971296635737,0.068,0.065,1
"PCIF1",0.921516169232553,0.167275305441246,0.068,0.065,1
"LINC01481",0.921643889943902,-0.214847499787576,0.151,0.151,1
